id,label,Species
1,0.5498099,cat
2,0.28996554,dog
3,0.4527008,dog
4,0.37509313,dog
5,0.5467051,cat
6,0.6098632,cat
7,0.55715877,cat
8,0.53182405,cat
9,0.6131122,cat
10,0.5717045,cat
11,0.5897037,cat
12,0.5610307,cat
13,0.53443223,cat
14,0.5399347,cat
15,0.37681362,dog
16,0.61523443,cat
17,0.46092477,dog
18,0.38352585,dog
19,0.56035507,cat
20,0.61070263,cat
21,0.54890925,cat
22,0.59759635,cat
23,0.5109122,cat
24,0.7856182,cat
25,0.5451589,cat
26,0.63818467,cat
27,0.54615104,cat
28,0.6795488,cat
29,0.43032634,dog
30,0.5297073,cat
31,0.4011736,dog
32,0.47150937,dog
33,0.43401513,dog
34,0.59113485,cat
35,0.66114587,cat
36,0.4670185,dog
37,0.5565874,cat
38,0.6117456,cat
39,0.53642005,cat
40,0.49422148,dog
41,0.52725166,cat
42,0.4665936,dog
43,0.561109,cat
44,0.7395676,cat
45,0.5388666,cat
46,0.5526363,cat
47,0.6539916,cat
48,0.5064407,cat
49,0.43182552,dog
50,0.6398716,cat
51,0.492347,dog
52,0.7342102,cat
53,0.49514547,dog
54,0.7506982,cat
55,0.65707487,cat
56,0.4237296,dog
57,0.7117271,cat
58,0.6145061,cat
59,0.4380046,dog
60,0.59561086,cat
61,0.440038,dog
62,0.67180926,cat
63,0.40450644,dog
64,0.62113553,cat
65,0.48933694,dog
66,0.5944266,cat
67,0.42323205,dog
68,0.5879497,cat
69,0.5866937,cat
70,0.46290854,dog
71,0.67846656,cat
72,0.6083393,cat
73,0.3291167,dog
74,0.3794756,dog
75,0.7346677,cat
76,0.59578896,cat
77,0.5340532,cat
78,0.5677542,cat
79,0.4805912,dog
80,0.5344215,cat
81,0.6314571,cat
82,0.7287383,cat
83,0.65282625,cat
84,0.5593197,cat
85,0.54431826,cat
86,0.53062326,cat
87,0.5771135,cat
88,0.4413463,dog
89,0.5939315,cat
90,0.46452263,dog
91,0.5364037,cat
